TYPE  | YEAR | TITLE                                                          | FRANCHISE     | BY                     | TAG                      | LINK
film  | 2004 | Hellboy                                                        | --            | --                     | --                       | --
film  | 2004 | I, Robot                                                       | --            | --                     | --                       | --
film  | 2004 | Kung Fu Hustle                                                 | --            | --                     | --                       | --
film  | 2004 | Napoleon Dynamite                                              | --            | --                     | --                       | --
film  | 2004 | National Treasure                                              | --            | --                     | --                       | --
film  | 2004 | Ocean's Twelve                                                 | --            | --                     | --                       | --
film  | 2004 | Primer                                                         | --            | --                     | --                       | --
film  | 2004 | The Bourne Supremacy                                           | --            | --                     | --                       | --
film  | 2004 | The Day After Tomorrow                                         | --            | --                     | --                       | --
film  | 2004 | The Ladykillers                                                | --            | --                     | --                       | --
