 _ | film  | 1979 | The Warriors                                                   | --
 x | film  | 1999 | End of Days                                                    | ★ worthless, watch Prince of Darkness instead
 x | film  | 1999 | eXistenZ                                                       | --
 x | film  | 1999 | Fight Club                                                     | --
 x | film  | 1999 | Inspector Gadget                                               | --
 x | film  | 1999 | October Sky                                                    | --
 x | film  | 1999 | Sleepy Hollow                                                  | ♥ ★★★★ Really good use of overcast lighting. Watch this for a halloween movie mostly free of steampunk devices.
 x | film  | 1999 | Star Wars: Episode I - The Phantom Menace                      | --
 x | film  | 1999 | Stuart Little                                                  | --
 x | film  | 1999 | The Boondock Saints                                            | --
 x | film  | 1999 | The Green Mile                                                 | --
 x | film  | 1999 | Toy Story 2                                                    | --
 x | film  | 1999 | Wild Wild West                                                 | ½
 x | film  | 2000 | Dracula 2000                                                   | ♥
 x | film  | 2000 | How the Grinch Stole Christmas                                 | ★★ sad :(
 x | film  | 2000 | Memento                                                        | ♥
 x | film  | 2000 | O Brother, Where Art Thou?                                     | ♥
 x | film  | 2000 | Remember the Titans                                            | --
 x | film  | 2000 | Romeo Must Die                                                 | --
 x | film  | 2000 | Supernova                                                      | ★ the trailer has the words "if you can't stand the heat... get out of the universe" a must-watch trailer
 x | film  | 2000 | The Road to El Dorado                                          | --
 x | film  | 2000 | Titan A.E.                                                     | --
 x | film  | 2000 | Unbreakable                                                    | --
 x | film  | 2001 | A.I. Artificial Intelligence                                   | --
 x | film  | 2001 | Cats & Dogs                                                    | --
 x | film  | 2001 | Donnie Darko                                                   | --
 x | film  | 2001 | Evolution                                                      | --
 x | film  | 2001 | Halloweentown II: Kalabar's Revenge                            | --
 x | film  | 2001 | Harry Potter and the Philosopher's Stone                       | --
 x | film  | 2001 | Jason X                                                        | ♥ ★★ really bad
 x | film  | 2001 | Kiss of the Dragon                                             | --
 x | film  | 2001 | Ocean's Eleven                                                 | --
 x | film  | 2001 | Pootie Tang                                                    | --
 x | film  | 2001 | Spy Kids                                                       | --
 x | film  | 2001 | The Lord of the Rings: Fellowship of the Ring                  | --
 x | film  | 2001 | The Mummy Returns                                              | ♥
 x | film  | 2001 | The PriceMaster                                                | ♥ ★★★★★ five... hundred stars
 x | film  | 2001 | The Princess Diaries                                           | --
 x | film  | 2002 | Catch Me If You Can                                            | --
 x | film  | 2002 | Gangs of New York                                              | --
 x | film  | 2002 | Harry Potter and the Chamber of Secrets                        | --
 x | film  | 2002 | Rabbits                                                        | --
 x | film  | 2002 | Red Dragon                                                     | --
 x | film  | 2002 | Scooby-Doo                                                     | --
 x | film  | 2002 | Spider-Man                                                     | --
 x | film  | 2002 | Star Wars: Episode II – Attack of the Clones                   | --
 x | film  | 2002 | The Lord of the Rings: The Two Towers                          | --
 x | film  | 2002 | The Scorpion King                                              | --
 x | film  | 2003 | Angels in America                                              | ♥
 x | film  | 2003 | Elf                                                            | --
 x | film  | 2003 | Holes                                                          | --
 x | film  | 2003 | House of 1000 Corpses                                          | --
 x | film  | 2003 | Hulk                                                           | --
 x | film  | 2003 | Inspector Gadget 2                                             | --
 x | film  | 2003 | Pirates of the Caribbean: The Curse of the Black Pearl         | --
 x | film  | 2003 | Terminator 3: Rise of the Machines                             | --
 x | film  | 2003 | The Core                                                       | ★ Very unkind to pigeons.
 x | film  | 2003 | The Lord of the Rings: The Return of the King                  | --
 x | film  | 2003 | Underworld                                                     | --
 x | film  | 2004 | AVP: Alien vs. Predator                                        | --
 x | film  | 2004 | Blade: Trinity                                                 | ★ don't watch this ryan reynolds is in it
 x | film  | 2004 | Casshern                                                       | ★ slideshow of bad ideas
 x | film  | 2004 | Ella Enchanted                                                 | --
 x | film  | 2004 | Finding Neverland                                              | --
 x | film  | 2004 | Harry Potter and the Prisoner of Azkaban                       | --
 x | film  | 2004 | Hellboy                                                        | --
